customer,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount,state,gender
ML29312,High School or Below,449949.33,16969,124,2,Personal Auto,SUV,704.77,Oregon,
UB61619,Master,405956.74,11621,108,0,Personal Auto,Four-Door Car,518.4,Oregon,
CD86811,Bachelor,445811.34,17622,65,1,Personal Auto,Four-Door Car,312.0,Arizona,
RU83859,Bachelor,811033.31,11489,105,0,Personal Auto,Two-Door Car,504.0,California,
FG63582,Bachelor,333976.49,0,94,0,Personal Auto,Two-Door Car,863.33,Oregon,
NN71951,High School or Below,2426101.78,66525,100,0,Personal Auto,SUV,104.33,California,
WB37082,Bachelor,661397.37,0,63,0,Personal Auto,Four-Door Car,676.39,Arizona,
SM52139,College,293069.35,33663,73,0,Personal Auto,Four-Door Car,350.4,Washington,
FL82372,College,867219.43,22547,112,0,Corporate Auto,SUV,537.6,Oregon,
DP45816,High School or Below,1163866.93,61486,97,0,Personal Auto,Two-Door Car,465.26,Arizona,
GW33762,Bachelor,684615.03,0,95,0,Personal Auto,Two-Door Car,456.0,Oregon,
RZ33670,College,1172777.65,29879,102,0,Personal Auto,Four-Door Car,500.25,California,
PY70169,High School or Below,2264383.48,93011,113,0,Personal Auto,SUV,281.45,Oregon,
MO91628,Master,261447.43,65186,65,0,Personal Auto,Two-Door Car,5.43,Oregon,
HW87852,Master,245175.27,26840,64,2,Personal Auto,Four-Door Car,307.2,Oregon,
HB20453,Bachelor,678127.02,0,104,1,Personal Auto,Luxury,982.4,Oregon,
BN87372,Bachelor,497480.15,75644,65,3,Personal Auto,Two-Door Car,467.8,Oregon,
YX23800,Bachelor,859160.49,38984,73,0,Personal Auto,Four-Door Car,350.4,Oregon,
DZ87709,High School or Below,559216.14,71811,71,0,Personal Auto,Four-Door Car,29.03,Oregon,
XW13033,College,800947.28,20961,67,0,Personal Auto,Four-Door Car,321.6,Nevada,
SP81997,Master,,41275,96,0,Personal Auto,Four-Door Car,41.12,Washington,F
OM82309,Bachelor,5816655.35,61321,186,1,Personal Auto,Luxury,427.63,California,
ZU35962,College,802522.94,0,77,0,Personal Auto,Two-Door Car,25.81,California,
VH85817,High School or Below,578018.22,51066,74,0,Personal Auto,Four-Door Car,787.99,California,
DT85712,Doctor,411853.91,34378,102,0,Personal Auto,SUV,489.6,California,
YJ88573,Master,252307.02,43072,63,0,Personal Auto,Four-Door Car,302.4,Nevada,
SQ19467,College,655421.64,25222,90,0,Personal Auto,Four-Door Car,475.62,Oregon,
YB66933,Bachelor,538275.2,77552,68,1,Corporate Auto,Four-Door Car,45.22,Washington,F
ET79815,College,592672.94,23091,96,5,Personal Auto,Four-Door Car,460.8,California,
QC35222,Bachelor,268347.07,48269,69,3,Corporate Auto,Four-Door Car,282.15,California,
CJ15590,Bachelor,269518.24,32720,67,0,Personal Auto,Four-Door Car,321.6,Oregon,
OI48267,College,604702.52,20396,76,1,Personal Auto,Four-Door Car,364.8,California,
JY67916,College,1317101.28,21513,119,1,Personal Auto,Two-Door Car,679.83,Oregon,
OW15518,College,1595001.95,0,87,1,Personal Auto,Two-Door Car,46.04,Washington,F
CZ33664,Bachelor,252765.38,80744,63,0,Corporate Auto,Four-Door Car,11.88,Oregon,
WK30175,Bachelor,267209.58,52822,67,0,Corporate Auto,Two-Door Car,350.53,Oregon,
ON44465,High School or Below,531329.4,0,77,1,Personal Auto,Four-Door Car,863.39,California,
TV87155,Bachelor,2094619.25,69738,74,1,Personal Auto,Four-Door Car,492.13,Oregon,
KH48895,Master,837535.39,17780,109,0,Personal Auto,SUV,132.59,Arizona,
NZ30757,Bachelor,480166.15,18107,62,0,Personal Auto,Four-Door Car,297.6,California,
RI22468,Bachelor,574594.33,57740,74,3,Personal Auto,Four-Door Car,269.91,Arizona,
FZ30935,College,606611.6,32627,76,0,Personal Auto,Two-Door Car,380.04,Oregon,
UG93476,College,800230.83,0,107,0,Personal Auto,SUV,513.6,California,
AB96670,College,239391.54,0,70,0,Personal Auto,Four-Door Car,425.27,California,
XK64261,Bachelor,476281.79,65795,62,1,Corporate Auto,Two-Door Car,49.01,Oregon,
EV68375,College,433038.6,60475,107,0,Personal Auto,Four-Door Car,513.6,California,
UN51653,High School or Below,940272.98,0,130,0,Personal Auto,SUV,936.0,California,
TO96662,Bachelor,696669.45,41837,88,0,Personal Auto,Four-Door Car,142.06,Oregon,
MR52087,Bachelor,769406.43,32303,65,0,Personal Auto,Four-Door Car,45.15,California,
DE75225,High School or Below,871756.11,0,117,1,Personal Auto,SUV,561.6,Oregon,
EP80820,Bachelor,592874.85,40531,74,0,Personal Auto,Two-Door Car,30.57,California,
GU99037,College,245297.73,79898,62,1,Corporate Auto,Four-Door Car,271.61,Oregon,
WI57118,College,670157.17,56398,85,0,Personal Auto,Four-Door Car,408.0,California,
GP39118,High School or Below,499655.27,71600,63,0,Personal Auto,Two-Door Car,46.16,Washington,M
MQ14219,College,849269.88,27804,109,0,Personal Auto,SUV,784.8,Arizona,
KN20603,Bachelor,771349.4,45506,66,2,Personal Auto,Four-Door Car,316.8,Oregon,
SG20925,Master,518579.76,99428,6464,1,Personal Auto,Four-Door Car,48.05,Washington,F
JI70886,High School or Below,729006.98,0,102,1,Corporate Auto,SUV,489.6,California,
VF72557,High School or Below,477294.38,20993,133,0,Personal Auto,SUV,638.4,Oregon,
OX28638,High School or Below,680649.14,37839,86,0,Personal Auto,Two-Door Car,465.63,Arizona,
SK55033,Bachelor,246978.13,92711,62,0,Personal Auto,Two-Door Car,368.4,California,
OO88645,College,310392.3,74665,78,2,Corporate Auto,Four-Door Car,236.9,California,
FM14335,College,1048491.54,61108,89,0,Personal Auto,Four-Door Car,49.45,Washington,F
CW82151,Bachelor,890273.76,46833,112,0,Personal Auto,Luxury,64.11,California,
DY22043,High School or Below,549944.72,88768,68,0,Personal Auto,Two-Door Car,326.4,Oregon,
SH36774,High School or Below,1502359.86,28262,192,0,Personal Auto,Luxury,921.6,California,
EM43724,Bachelor,250910.79,33555,63,0,Personal Auto,Four-Door Car,101.9,Nevada,
FH85960,College,3122174.81,42780,113,1,Personal Auto,Four-Door Car,542.4,Oregon,
XA55993,Master,313350.34,58850,78,0,Personal Auto,Four-Door Car,143.75,Oregon,
GO36627,College,383745.19,21880,97,0,Special Auto,Four-Door Car,424.08,Arizona,
QH48047,College,1179049.62,25251,66,0,Personal Auto,Four-Door Car,316.8,Oregon,
HS28694,High School or Below,282986.39,25317,71,0,Personal Auto,Two-Door Car,50.42,Washington,F
UH65059,High School or Below,430580.83,24188,109,0,Personal Auto,Luxury,523.2,Arizona,
FV21968,Bachelor,597397.69,41611,74,0,Special Auto,Four-Door Car,113.8,Nevada,
QA87025,Bachelor,567044.24,28406,72,1,Personal Auto,Four-Door Car,192.88,Oregon,
TQ13499,College,473174.93,69833,118,0,Personal Auto,Four-Door Car,828.66,Arizona,
BU44523,High School or Below,802637.96,0,74,0,Corporate Auto,Four-Door Car,532.8,Arizona,
MS41162,High School or Below,402296.35,0,117,0,Personal Auto,SUV,975.11,Arizona,
PU25891,High School or Below,961831.09,80536,119,0,Special Auto,Luxury,53.8,Oregon,
LH92841,Bachelor,725595.38,88891,89,0,Personal Auto,Four-Door Car,50.53,Washington,F
SX26335,College,955292.69,97732,79,0,Personal Auto,Four-Door Car,289.91,Oregon,
AZ95587,Bachelor,1038855.32,61222,89,0,Special Auto,Four-Door Car,392.6,Arizona,F
DS81757,College,247012.12,0,74,0,Personal Auto,Two-Door Car,721.24,Oregon,M
OJ94107,Master,561906.85,50335,140,0,Personal Auto,SUV,456.52,Arizona,M
LP84436,High School or Below,904711.92,0,127,0,Personal Auto,Luxury,1088.0,California,F
FF22360,Doctor,268731.41,82210,68,4,Personal Auto,Four-Door Car,51.96,Washington,F
LM19287,High School or Below,373150.46,0,96,0,Personal Auto,Four-Door Car,460.8,Oregon,F
ZU18643,Bachelor,366077.03,64495,92,0,Corporate Auto,Four-Door Car,251.99,Nevada,M
AZ82578,College,792882.93,0,72,0,Corporate Auto,Four-Door Car,345.6,California,F
XC67861,Bachelor,501175.16,28859,67,3,Corporate Auto,Two-Door Car,321.6,Arizona,F
YC43143,High School or Below,798825.83,77330,99,0,Personal Auto,Four-Door Car,99.26,Arizona,F
EK59571,College,388545.64,0,105,0,Corporate Auto,Four-Door Car,504.0,Oregon,M
PA38372,High School or Below,935773.78,33060,117,0,Personal Auto,Four-Door Car,56.73,Washington,F
RO18530,Master,254068.98,42557,65,0,Personal Auto,Four-Door Car,57.56,Washington,M
PD27940,High School or Below,488516.25,26372,126,0,Personal Auto,SUV,604.8,Arizona,M
BS77946,Bachelor,975330.71,17514,127,0,Personal Auto,SUV,8.31,Arizona,F
YM50253,Bachelor,294615.37,89270,74,0,Personal Auto,Four-Door Car,316.6,California,F
NR15332,High School or Below,258111.09,29757,65,0,Personal Auto,Four-Door Car,312.0,California,M
RC62865,College,351738.58,51814,92,0,Personal Auto,Four-Door Car,56.3,Oregon,M
CC15295,Bachelor,974335.01,24028,82,0,Personal Auto,Four-Door Car,393.6,Oregon,F
KA61892,College,387364.7,28142,105,0,Personal Auto,Luxury,701.71,Arizona,M
OS94884,Bachelor,764928.2,52705,64,1,Personal Auto,Two-Door Car,128.71,Arizona,F
ND87334,High School or Below,228759.69,0,63,0,Corporate Auto,Two-Door Car,679.37,California,M
OY51402,High School or Below,825576.39,54040,103,0,Personal Auto,SUV,59.99,Washington,F
YL74911,College,871492.21,0,118,0,Personal Auto,SUV,566.4,California,F
GK92563,Doctor,681923.12,22492,85,0,Personal Auto,Two-Door Car,61.65,Washington,F
HL53154,Bachelor,741619.73,0,77,2,Personal Auto,Four-Door Car,554.4,California,M
RI78966,Master,777115.9,21876,68,0,Personal Auto,Four-Door Car,465.41,Oregon,M
IC13702,Bachelor,696834.19,0,69,1,Personal Auto,Four-Door Car,496.8,California,F
BE10809,High School or Below,425028.26,0,61,1,Personal Auto,Four-Door Car,292.8,California,F
HT87217,High School or Below,1977656.65,70699,82,0,Personal Auto,Four-Door Car,256.81,Oregon,F
TH95618,High School or Below,2134346.6,0,74,1,Personal Auto,Four-Door Car,355.2,California,F
TS19868,College,241313.97,27501,63,0,Personal Auto,Four-Door Car,542.32,California,M
LP45550,Doctor,1536384.72,15897,101,0,Personal Auto,Four-Door Car,303.15,Oregon,F
QR87004,College,845696.19,25141,73,1,Personal Auto,Four-Door Car,25.44,Nevada,F
OE75747,College,218964.25,0,61,3,Personal Auto,Four-Door Car,292.8,Nevada,F
DX91392,High School or Below,578018.22,51066,74,0,Personal Auto,Four-Door Car,787.99,California,M
AB72731,Bachelor,463998.16,28358,117,0,Personal Auto,Luxury,84.02,California,F
GX84338,Doctor,382443.13,62530,95,0,Personal Auto,Four-Door Car,61.69,Washington,F
IS12901,Bachelor,596811.89,90972,74,0,Personal Auto,Two-Door Car,232.93,Arizona,F
BN90616,Bachelor,859033.5,63110,72,0,Personal Auto,Four-Door Car,68.18,Washington,F
HH90090,Bachelor,407663.47,29549,104,0,Personal Auto,Luxury,710.43,California,F
IU25463,Bachelor,1225260.18,0,115,1,Personal Auto,Four-Door Car,552.0,California,F
KC11055,Bachelor,1693627.15,39411,217,2,Personal Auto,Luxury,1122.66,Nevada,F
PD33979,High School or Below,489243.55,21709,62,0,Personal Auto,Four-Door Car,408.37,Oregon,M
NK71023,Bachelor,994230.48,67890,85,0,Personal Auto,Four-Door Car,408.0,Nevada,M
AB13432,Bachelor,373583.81,0,110,0,Personal Auto,SUV,792.0,California,M
OZ97704,High School or Below,1311752.22,84311,111,4,Personal Auto,SUV,532.8,California,F
UF46533,College,457452.41,99316,114,0,Corporate Auto,SUV,754.36,California,F
XP47431,Bachelor,547006.06,54507,138,0,Personal Auto,SUV,702.99,Arizona,F
GK73582,Bachelor,297884.6,64586,76,0,Personal Auto,Four-Door Car,206.84,California,F
RV98763,College,641096.75,61709,82,2,Personal Auto,Four-Door Car,275.4,Oregon,M
II62831,Master,447902.31,94656,111,1,Special Auto,SUV,459.74,California,M
XK33449,High School or Below,238373.19,0,69,0,Special Auto,Two-Door Car,496.8,California,F
TR85083,Bachelor,276449.37,61085,70,1,Personal Auto,Two-Door Car,336.0,California,M
EO95328,Bachelor,792010.54,89284,67,3,Personal Auto,Two-Door Car,321.6,Oregon,F
EN21086,High School or Below,688909.8,0,63,0,Personal Auto,Four-Door Car,302.4,Arizona,F
YL83902,Bachelor,327419.46,31686,81,0,Personal Auto,Four-Door Car,430.99,Washington,F
AZ62651,High School or Below,995170.77,56855,255,0,Corporate Auto,Luxury,1836.0,Oregon,M
ZW25874,Bachelor,252155.57,53703,67,2,Special Auto,Four-Door Car,67.63,Oregon,M
EH41854,High School or Below,2370611.34,0,96,1,Personal Auto,Two-Door Car,844.48,Washington,F
MW70227,College,604702.52,20396,76,1,Personal Auto,Four-Door Car,364.8,California,M
SL22297,Master,1114030.25,27679,150,0,Personal Auto,SUV,722.49,California,F
RV14138,Bachelor,433406.41,23904,123,3,Personal Auto,SUV,590.4,Nevada,F
UO62808,High School or Below,279974.79,65351,69,0,Corporate Auto,Four-Door Car,481.03,Arizona,F
ZX64745,College,792313.66,0,113,0,Personal Auto,SUV,1124.43,California,M
FL34139,High School or Below,368811.09,0,63,3,Personal Auto,Four-Door Car,669.68,California,M
TS11219,College,1206745.6,0,116,0,Personal Auto,SUV,1284.09,California,M
XX12304,College,292497.67,64459,72,0,Personal Auto,Four-Door Car,240.26,California,F
SD64087,College,1501409.27,32961,190,0,Corporate Auto,SUV,912.0,California,M
OY38576,High School or Below,927723.38,71416,116,0,Corporate Auto,SUV,556.8,Oregon,F
BG76355,Bachelor,627412.39,68964,78,0,Personal Auto,Four-Door Car,115.09,Washington,F
IP66913,High School or Below,388664.74,78108,98,0,Personal Auto,Two-Door Car,470.4,California,M
LE95702,College,438627.76,10621,67,0,Special Auto,Four-Door Car,321.6,California,M
KX54357,College,1136526.77,84910,95,0,Corporate Auto,Two-Door Car,383.17,Washington,M
EZ78112,High School or Below,561096.43,77493,70,0,Special Auto,Four-Door Car,307.96,California,F
XN16891,College,291289.2,81097,74,0,Personal Auto,Four-Door Car,355.2,Arizona,M
XK31350,College,691572.99,96610,85,0,Corporate Auto,Four-Door Car,520.36,Oregon,F
CC30924,College,626266.33,30110,159,0,Corporate Auto,Luxury,466.44,Oregon,M
IT78748,High School or Below,650339.7,22081,84,0,Special Auto,Two-Door Car,451.67,Oregon,F
KY33386,High School or Below,800739.94,0,112,0,Personal Auto,Luxury,537.6,Washington,F
CO44221,College,292991.65,98473,72,0,Personal Auto,Four-Door Car,345.6,California,M
LK60013,Bachelor,596955.3,97431,74,0,Personal Auto,Four-Door Car,355.2,Oregon,F
DE21533,Bachelor,547315.99,93870,69,0,Personal Auto,Four-Door Car,331.2,California,M
YS94121,High School or Below,564539.67,50366,72,0,Personal Auto,Four-Door Car,428.73,Nevada,M
UK68427,High School or Below,636926.24,34498,83,0,Personal Auto,Two-Door Car,398.4,Washington,M
TE49565,College,1183376.73,16552,103,0,Personal Auto,SUV,494.4,Oregon,F
RA88421,College,612110.79,26787,77,0,Personal Auto,Four-Door Car,369.6,Oregon,F
KQ51983,College,515936.97,0,74,0,Personal Auto,Two-Door Car,831.75,Nevada,M
CD88896,High School or Below,251459.2,43860,65,0,Corporate Auto,Four-Door Car,156.12,Nevada,F
YV22553,High School or Below,866861.13,21474,114,2,Corporate Auto,SUV,373.43,Arizona,M
WU14435,Bachelor,496096.54,18174,66,0,Corporate Auto,Four-Door Car,395.93,California,M
XV84099,Bachelor,550413.9,0,73,0,Corporate Auto,Four-Door Car,350.4,Arizona,F
RI24911,College,750745.54,60920,64,0,Personal Auto,Two-Door Car,231.2,Arizona,M
KO26461,High School or Below,3226985.14,41520,90,0,Personal Auto,Four-Door Car,289.9,Arizona,M
HI14283,Bachelor,565703.16,0,152,0,Personal Auto,SUV,729.6,Oregon,F
PT50227,High School or Below,506175.79,0,68,0,Personal Auto,Two-Door Car,326.4,Arizona,M
BH36570,Bachelor,591278.38,72208,73,0,Personal Auto,Two-Door Car,350.4,California,M
TX17484,Bachelor,1518227.98,53863,63,0,Personal Auto,Four-Door Car,105.77,California,F
CT41158,College,1074703.09,66446,136,0,Corporate Auto,SUV,639.46,Washington,M
AO87348,College,205062.35,0,61,0,Personal Auto,Four-Door Car,292.8,Washington,M
DE55857,Bachelor,246544.49,64997,63,1,Personal Auto,Four-Door Car,383.44,Washington,F
LF66923,High School or Below,534312.13,64460,66,0,Corporate Auto,Two-Door Car,316.8,Nevada,F
CN24514,College,811982.91,46618,67,0,Personal Auto,Four-Door Car,99.09,Arizona,F
UW32074,College,460526.52,0,64,0,Corporate Auto,Four-Door Car,307.2,Oregon,F
HP36979,College,640878.56,49988,84,5,Personal Auto,Two-Door Car,566.94,California,M
PP40919,College,237653.35,0,91,5,Personal Auto,Two-Door Car,436.8,California,F
RO73268,Bachelor,321107.0,16269,86,0,Corporate Auto,Two-Door Car,412.8,California,M
HO61691,Bachelor,509452.23,72006,64,0,Personal Auto,Four-Door Car,307.2,Arizona,F
BS13062,High School or Below,2575527.82,0,81,2,Personal Auto,Four-Door Car,388.8,Arizona,F
FO35655,Bachelor,867222.97,0,245,0,Corporate Auto,Luxury,2345.41,Oregon,M
HR10526,Master,804473.07,44320,67,0,Personal Auto,Four-Door Car,321.6,California,M
IA63417,High School or Below,400151.91,19782,108,0,Personal Auto,Two-Door Car,773.47,Arizona,F
BH35016,Bachelor,1670611.7,63933,70,0,Personal Auto,Two-Door Car,424.88,Nevada,F
PK52952,Doctor,854441.11,28224,109,0,Personal Auto,SUV,523.2,Arizona,M
OD76309,College,780531.29,21073,106,1,Personal Auto,SUV,508.8,Washington,F
IL28481,Bachelor,611275.69,63243,77,0,Personal Auto,Four-Door Car,364.24,Oregon,M
GY55092,High School or Below,477294.38,20993,133,0,Personal Auto,SUV,638.4,Nevada,M
UF33451,Bachelor,1097909.56,94827,135,0,Personal Auto,SUV,354.73,Oregon,F
CF15558,Master,500426.38,39161,63,1,Personal Auto,Two-Door Car,284.0,California,F
JM62924,Bachelor,1322304.38,37534,84,2,Personal Auto,Four-Door Car,403.2,Washington,M
EM66435,Bachelor,262331.54,80210,65,0,Corporate Auto,Four-Door Car,20.54,Oregon,F
QX45933,Bachelor,1784019.56,0,62,0,Personal Auto,Four-Door Car,385.12,California,M
JI71369,College,510611.18,30110,64,0,Personal Auto,Four-Door Car,140.17,California,F
JU93290,College,1793060.45,21708,68,0,Personal Auto,Four-Door Car,326.4,Arizona,F
GU66096,High School or Below,545734.26,94731,67,0,Personal Auto,Four-Door Car,321.6,Arizona,M
UC33108,Bachelor,656364.41,32375,83,0,Personal Auto,Four-Door Car,398.4,California,M
LW93867,College,481252.52,16531,63,0,Corporate Auto,Four-Door Car,102.88,Oregon,M
OU78470,Master,2932804.19,32006,94,0,Corporate Auto,Four-Door Car,56.87,Arizona,F
XW90265,Bachelor,577352.07,81676,72,0,Personal Auto,Two-Door Car,463.16,Arizona,F
HS67749,College,684711.89,71038,86,0,Corporate Auto,Four-Door Car,205.44,California,M
VZ51506,High School or Below,359531.29,0,103,0,Corporate Auto,Luxury,741.6,Arizona,F
UI64281,Master,2285561.21,20832,65,0,Personal Auto,Two-Door Car,56.37,Nevada,F
AE98193,High School or Below,785941.46,0,113,0,Personal Auto,SUV,813.6,Washington,M
AZ74055,High School or Below,411557.74,52405,103,0,Personal Auto,Four-Door Car,494.4,Oregon,M
XS76911,High School or Below,502963.88,0,133,0,Personal Auto,Luxury,795.86,Arizona,F
AY40674,Bachelor,482141.85,26583,1005,4,Personal Auto,SUV,614.4,Washington,F
NA12740,Master,500431.05,25486,65,0,Special Auto,Two-Door Car,72.44,Oregon,M
UA84837,College,863005.39,24065,111,0,Corporate Auto,Four-Door Car,532.8,Arizona,M
DJ51510,High School or Below,932208.51,70435,116,0,Personal Auto,Four-Door Car,67.88,Arizona,F
VM58985,College,1672756.06,0,76,2,Personal Auto,Two-Door Car,402.64,California,M
OH60605,High School or Below,365253.24,39679,92,0,Personal Auto,Two-Door Car,641.39,Oregon,F
UO98052,College,615860.12,0,89,0,Personal Auto,Four-Door Car,342.48,Nevada,M
NC53424,Bachelor,437608.4,0,69,4,Personal Auto,Two-Door Car,331.2,California,M
LQ13873,High School or Below,556945.62,53565,71,1,Personal Auto,Four-Door Car,340.8,Nevada,M
LA97014,Bachelor,257651.3,37574,66,1,Personal Auto,Two-Door Car,412.1,Washington,M
NB79936,Bachelor,834698.32,48259,108,0,Personal Auto,Two-Door Car,73.7,Washington,M
NT89061,High School or Below,632392.39,78532,78,0,Personal Auto,Four-Door Car,374.4,Arizona,F
AF10970,Bachelor,597314.34,96163,73,0,Corporate Auto,Four-Door Car,350.4,Arizona,F
ZG48513,Bachelor,470667.7,0,72,0,Personal Auto,Four-Door Car,345.6,California,M
JQ59145,High School or Below,809341.03,0,114,1,Personal Auto,Luxury,722.02,California,M
FE84989,College,503574.46,72672,63,0,Personal Auto,Four-Door Car,259.36,Washington,M
JT52858,Bachelor,902786.72,99002,112,1,Personal Auto,Four-Door Car,537.6,Oregon,F
MC62068,High School or Below,728888.48,79494,91,0,Personal Auto,Four-Door Car,396.3,California,M
EU27538,Master,1804247.94,35704,225,0,Personal Auto,Luxury,358.28,Oregon,M
RH42306,Bachelor,499206.3,0,71,0,Corporate Auto,Four-Door Car,653.39,Arizona,F
US23612,High School or Below,910226.78,26049,118,0,Personal Auto,Two-Door Car,121.03,Oregon,F
WV76014,Doctor,254040.77,70125,64,0,Special Auto,Four-Door Car,92.81,Arizona,M
RK96223,College,1294189.19,52369,110,1,Personal Auto,SUV,528.0,California,M
MF82000,Bachelor,236534.86,0,66,2,Special Auto,Four-Door Car,159.64,Washington,F
FM46980,College,572076.51,41770,72,0,Personal Auto,Four-Door Car,476.16,Arizona,M
SY56792,High School or Below,703553.41,0,101,0,Corporate Auto,Four-Door Car,727.2,Oregon,M
RF61565,College,263697.77,31911,67,0,Personal Auto,Four-Door Car,321.6,California,M
IM94808,Bachelor,539583.2,70051,68,0,Corporate Auto,Four-Door Car,42.08,Nevada,M
VI14730,High School or Below,838263.01,19683,117,1,Personal Auto,Luxury,561.6,Oregon,M
YR34119,College,3116174.52,30916,112,0,Personal Auto,SUV,200.12,Washington,F
RR77985,Bachelor,288774.23,0,80,0,Personal Auto,Four-Door Car,676.94,Oregon,F
